,Word,Frequency
0,설치,192
1,세탁기,124
2,가능한가요,115
3,냉장고,115
4,안녕하세요,91
5,가능할까요,78
6,기존,73
7,가로,69
8,따로,68
9,되나요,63
10,그리고,61
11,어떻게,60
12,수,60
13,있는,58
14,궁금합니다,58
15,설치가,55
16,있나요,55
17,혹시,53
18,이,53
19,제품,51
20,있는데,46
21,건조기,43
22,사이즈가,43
23,합니다,42
24,하는데,41
25,기사님이,40
26,사이즈,39
27,아니면,39
28,문의드립니다,38
29,세로,37
30,입니다,37
31,있을까요,36
32,수거,36
33,높이,34
34,폭이,34
35,사다리차,34
36,높이가,33
37,배송,33
38,부탁드립니다,32
39,폐가전,31
40,기사님,30
41,다시,30
42,현재,29
43,맞나요,29
44,있습니다,28
45,2,28
46,구매,28
47,제가,28
48,오늘,28
49,지금,27
50,문의,27
51,무료,27
52,알려주세요,26
53,가능,26
54,미리,26
55,기존에,26
56,좀,26
57,더,26
58,1,25
59,인데,25
60,바로,24
61,다,24
62,다른,24
63,집에,24
64,될까요,24
65,정도,23
66,가능한지,23
67,위에,23
68,삼성,23
69,알고,22
