Review,product_category,score,score_category
리뷰 더보기 접기 평점 5  . 신고 주거형태30평대거주인원 2인 한달사용삼성냉장고. 완전. 최고최고입니다 냉동실 냉동도 완벽하게 최상이고 냉장실 또한. 1 로 설정을 해놓아도. 채소 케일.브로콜리.양배추.상추.우엉.당근.비트등등 가 아주 싱싱하고. 푸릇푸릇하게 오래. 잘. 유지가되며. 절대 얼지않아서 . 너무너무 좋고. 대만족 최상 . 최고 . 입니다. 수납칸의. 활용도와. 냉온 냉장 상태가. 가격대비. 가성비가. 매우. 우수한. 제품임을. 알려드립니다 색상도 인터넷 화면의. 색상보다. 실제 실물이 이름값답게 아주 젠틀젠틀한. 품격있는 멋진블랙입니다 허리가 불편한. 저에게는 4도어보다. 2도어가 완전. 딱맞고 막상 사용하여보니 제품 만점도는. 100점만점에. 1000점 입니다. 크게 신뢰가. 가는 평강프라자 번창번영하시고 새해복많이 받으세요. 진심으로. 너무. 좋은 제품 싸게 판매하여주셔서 정말. 감사합니다 더보기 사진 비디오 수 4 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
이 구매자의 처음 리뷰보기,냉장고,,나쁨
"리뷰 더보기 접기 평점 5  . 신고 주거형태30평대거주인원 3인영유아 가정 한달사용설치할 때 기사님들도 신속하게 친절하게 설치해주시고, 사용법도 설명해주셨어요. 스마트폰 연동되는 냉장고도 처음써보고요.. 일단 852 대용량답게 식재료가 엄청 들어갑니다. 다만 아쉬운 점은 냉장고가 안으로 들어가는 깊이감 때문에 용량이 큰 것이라 식재료를 많이 넣게되면, 안에 있는 재료들을 꺼내기 힘들더라고요. 그래서 안쪽에는 손질하지 않은 식재료 및 김치통을 보관하고 있어요. 가장 불편한 것은 계란 정리대가 없어 오른쪽 냉장 랙쪽에 보관하는데, 터지면.. 대참사.. 그래도 이 가격에 고용량 삼성 냉장고라면 구매 결정해도 될 것 같습니다. 2등급이라.. 한전에서 지원도 해주고요. 처음에 사진 달고 리뷰썼는데, 네이버 오류인지.. 사진 안올라가서 리뷰가 달렸네요. 50 만 적립되는 것인가요? 10150원 포인트 미적립 아쉽네요 더보기 사진 비디오 수 5 이미지 펼쳐보기 0",냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5 7  . 신고 주거형태10평대거주인원 2인신혼 부부 한달사용전에 쓰던 제품이 350정도 용량이라 너무 작아서 이사할 때 구입했어요. 너무 큰 거 산건 아닌가 했는데 공간 걱정없이 여유롭게 사용중이에요. 2인 가구에서는 차고 넘쳐요 커피나 음료를 좀 마시는 편이라 특히나 아이스 메이커가 사용하기 편해서 너무 좋네요 색상도 집 분위기랑 잘 어울리고 멋져요. 소음도 없구요. 공식인증점이라 설치 기사님도 친절하시고 제품도 맘에 쏙 드네요 더보기 사진 비디오 수 3 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5 4  . 신고 기사님이 전날오후에 전화주셔서 언제 설치할지 물어봐주셨어요! 토요일 아침 9시 반에 설치시작했는데 냉장고 너비가커서 문짝 떼어내고 들어오고 문부분을 안에서 설치해주셨습니다! 폐냉장고 20년된것도 수거해주셨고 궁금한것도 친절하게 알려주셨어요! 조작법도 간단하고 냉장고도 엄청 넓어서 좋아요! 동영상컨텐츠 사진 비디오 수 3 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 자세하고 정성어린 리뷰 정말 감사합니다! 앞으로도 좋은 제품을 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5 8  . 신고 주거형태20평대거주인원 4인대가족 한달사용용량이 커서 진짜진짜 만족해요 기존에 사용하던것보다 80리터 정도 커서 그런가 락 락 반찬통 큰사이즈로 2개 넣어도 공간이 남구요 문쪽에도 소스류 정말 많이 둘 수 있어요! 배송일에 기사님도 너무너무 친절하시고 사다리차비용없는것도 너무 좋았구요 구매전 문의차 전화했을때도 너무 친절하게 안내해주셔서 기분이 좋았습니다. 서비스도 굳인데 제품도 굳 안살이유가없어요!!! 블랙으로 제품 외관도 깔끔하고 좋습니다 더보기 사진 비디오 수 2 이미지 펼쳐보기 0,냉장고,5.0,좋음
